Source,Target
36,9723
9723,22987
22987,115380
115380,167418
167418,92744
167418,26104
167418,54134
167418,69407
167418,19737
167418,50457
167418,155301
167418,95336
29431,91011
29431,60679
29431,39312
29431,79847
29431,167418
29431,21036
29431,36706
29431,53153
29431,19795
29431,546
29431,39983
29431,162439
29431,163783
76552,22453
76552,167418
31878,167418
48719,167418
48719,9250
48719,65203
48719,49814
170273,167418
170273,50543
170273,24132
170273,45423
170273,110053
170273,12032
86109,147928
86109,96661
86109,21321
86109,28672
86109,162439
86109,121223
86109,167418
86109,72878
92744,65578
65578,80938
80938,127396
127396,92641
92641,116375
116375,48719
26104,13730
26104,31878
26104,141352
26104,155958
26104,75057
26104,82541
26104,23625
26104,32983
26104,97898
98044,16662
98044,26104
98044,72417
98044,10633
163754,140078
163754,34151
163754,66086
163754,144745
163754,138582
163754,26104
163754,49103
163754,72427
163754,163505
163754,134950
163754,124464
163754,22510
163754,28126
163754,132182
163754,73270
163754,150419
163754,47859
163754,174759
163754,14888
163754,95030
136468,21724
136468,156498
136468,25396
136468,26104
136468,24906
136468,84881
136468,162151
136468,60798
136468,94896
136468,38115
136468,132598
136468,133795
136468,133895
136468,70606
